date,close,stck_oprc,high,low,volume,tr_amount,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
2025-02-03,79600,80500,81000,78000,822939,65373588000,00,0.00,N,5,-800,
2025-02-04,80200,79600,81500,79600,806018,64944278000,00,0.00,N,2,600,
2025-02-05,78800,80700,80700,78800,597863,47624117000,00,0.00,N,5,-1400,
2025-02-06,75900,78500,79100,75400,1335816,102873731600,00,0.00,N,5,-2900,
2025-02-07,76600,75600,78300,75600,751500,57625398200,00,0.00,N,2,700,
2025-02-10,75300,76600,77000,75200,612383,46444616000,00,0.00,N,5,-1300,
2025-02-11,75100,75300,76000,74200,529604,39809600400,00,0.00,N,5,-200,
2025-02-12,75400,75200,75800,74400,365923,27507370100,00,0.00,N,2,300,
2025-02-13,74300,75600,75700,74100,561293,41883075700,00,0.00,N,5,-1100,
2025-02-14,81300,74500,84100,74300,3609591,290576759500,00,0.00,N,2,7000,
2025-02-17,85400,82300,86400,81000,2181135,183660706100,00,0.00,N,2,4100,
2025-02-18,87700,86400,88500,85000,1496996,129960474700,00,0.00,N,2,2300,
2025-02-19,88000,87800,88400,85500,947663,82735424600,00,0.00,N,2,300,
2025-02-20,84500,86800,88400,82300,1490970,126502924000,00,0.00,N,5,-3500,
2025-02-21,81800,84300,86200,81500,869213,72595601100,00,0.00,N,5,-2700,
2025-02-24,88000,81000,88900,80600,2085752,178281122600,00,0.00,N,2,6200,
2025-02-25,87700,86500,89000,85900,1322836,116108891800,00,0.00,N,5,-300,
2025-02-26,84600,87800,88200,84500,1121582,96825642500,00,0.00,N,5,-3100,
2025-02-27,92500,85500,97600,85400,6153670,572992696100,00,0.00,N,2,7900,
2025-02-28,89300,91500,92500,88400,1796215,161155861200,00,0.00,N,5,-3200,
2025-03-04,89400,90000,91500,87000,1231071,110125945150,00,0.00,N,2,100,
2025-03-05,89300,90300,92000,88100,965337,86840923950,00,0.00,N,5,-100,
2025-03-06,85500,89900,91000,84500,1467748,128179026650,00,0.00,N,5,-3800,
2025-03-07,85800,85400,88000,84500,831026,71397781800,00,0.00,N,2,300,
2025-03-10,79800,85800,85800,67600,2982122,239358081150,00,0.00,N,5,-6000,
2025-03-11,78500,79000,83800,77100,1267720,100450490450,00,0.00,N,5,-1300,
2025-03-12,78500,78600,81000,77700,774381,61536387800,00,0.00,N,3,0,
2025-03-13,74200,78600,79900,71800,2615081,195541078300,00,0.00,N,5,-4300,
2025-03-14,72000,74200,77300,71500,1877712,138364009150,00,0.00,N,5,-2200,
2025-03-17,75600,73400,78000,73100,2111602,159575343800,00,0.00,N,2,3600,
2025-03-18,76700,77100,77600,75200,1172415,89764257900,00,0.00,N,2,1100,
2025-03-19,71900,75600,76600,69600,3214306,233896545900,00,0.00,N,5,-4800,
2025-03-20,66400,70800,74500,66400,4163282,291160331900,00,0.00,N,5,-5500,
2025-03-21,46500,46500,49650,46500,10888340,511241996700,00,0.00,N,4,-19900,
2025-03-24,53700,48650,54300,47600,6116974,315065127400,00,0.00,N,2,7200,
2025-03-25,55300,56300,58800,53700,2915754,164000616200,00,0.00,N,2,1600,
2025-03-26,55200,54600,55500,53700,890987,48819151950,00,0.00,N,5,-100,
2025-03-27,58600,55200,59400,55100,1635762,94362581400,00,0.00,N,2,3400,
2025-03-28,57200,60000,60100,56900,1223757,70861633650,00,0.00,N,5,-1400,
2025-03-31,55100,55000,56200,54000,1106461,60740815550,00,0.00,N,5,-2100,
2025-04-01,58000,56900,58500,56100,691325,39797804150,00,0.00,N,2,2900,
2025-04-02,56700,59100,59400,55200,1034513,58399726050,00,0.00,N,5,-1300,
2025-04-03,57000,55100,57400,55100,456245,25719431500,00,0.00,N,2,300,
2025-04-04,57600,56400,58600,55800,850566,48710157350,00,0.00,N,2,600,
2025-04-07,55400,56100,57500,55400,785509,44120084900,00,0.00,N,5,-2200,
2025-04-08,55800,56400,56900,55300,461730,25821865450,00,0.00,N,2,400,
2025-04-09,52700,55000,55000,50800,1153082,60532785850,00,0.00,N,5,-3100,
2025-04-10,52600,54600,54600,51200,923575,48716901200,00,0.00,N,5,-100,
