date,close,stck_oprc,high,low,volume,tr_amount,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
2025-12-29,119500,119400,119700,118200,19676004,2342292714700,02,0.00,N,2,2500,
2025-12-30,119900,119100,121200,118700,19746349,2375903831735,00,0.00,N,2,400,
2026-01-02,128500,120200,128500,120200,30463279,3805940517494,00,0.00,N,2,8600,
2026-01-05,138100,134600,138600,133600,42863376,5837009498150,00,0.00,N,2,9600,
2026-01-06,138900,135300,139300,132700,45321341,6156416508326,00,0.00,N,2,800,
2026-01-07,141000,143500,144400,137600,46317413,6545096281338,00,0.00,N,2,2100,
2026-01-08,138800,138300,144500,138300,41449329,5840279078975,00,0.00,N,5,-2200,
2026-01-09,139000,136000,140700,135200,29520566,4069184694850,00,0.00,N,2,200,
2026-01-12,138800,141000,142000,136900,26271134,3666689780452,00,0.00,N,5,-200,
2026-01-13,137600,139800,140200,136900,22384699,3095245609050,00,0.00,N,5,-1200,
2026-01-14,140300,137000,140300,136800,18444394,2569043127288,00,0.00,N,2,2700,
2026-01-15,143900,139000,144000,138300,24701126,3498249940400,00,0.00,N,2,3600,
2026-01-16,148900,145300,149500,144300,30000219,4435943361334,00,0.00,N,2,5000,
2026-01-19,149300,147200,150600,146600,22762497,3381546209135,00,0.00,N,2,400,
2026-01-20,145200,148500,149300,143900,24059218,3512770941586,00,0.00,N,5,-4100,
2026-01-21,149500,141900,149800,141800,31703610,4679612359030,00,0.00,N,2,4300,
2026-01-22,152300,155000,157000,150800,32073624,4953546934392,00,0.00,N,2,2800,
2026-01-23,152100,154700,156000,150100,25407497,3899973965409,00,0.00,N,5,-200,
2026-01-26,152100,154900,156400,151500,20561689,3148408004773,00,0.00,N,3,0,
2026-01-27,159500,150500,159500,149200,29423670,4565457606491,00,0.00,N,2,7400,
2026-01-28,162400,162600,163300,160200,29456431,4772986696538,00,0.00,N,2,2900,
2026-01-29,160700,166200,166600,157100,36087223,5826870231490,00,0.00,N,5,-1700,
2026-01-30,160500,160100,166500,160100,40557267,6593450199492,00,0.00,N,5,-200,
2026-02-02,156400,155700,159600,155200,15657970,2459033415900,00,0.00,N,5,-4100,
