date,close,stck_oprc,high,low,volume,tr_amount,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
2025-02-03,119000,128200,128500,119000,751464,91230451700,00,0.00,N,5,-12000,
2025-02-04,120300,122100,126200,120200,596140,73452875700,00,0.00,N,2,1300,
2025-02-05,123600,121100,125400,121100,422903,52140676700,00,0.00,N,2,3300,
2025-02-06,122700,124200,126000,121400,406803,50025267400,00,0.00,N,5,-900,
2025-02-07,121100,123400,130500,120800,871007,108459654100,00,0.00,N,5,-1600,
2025-02-10,120700,118600,121800,116800,520316,62333294000,00,0.00,N,5,-400,
2025-02-11,120700,120900,124000,118600,674615,81965667400,00,0.00,N,3,0,
2025-02-12,121200,120600,123500,118500,572381,69371875900,00,0.00,N,2,500,
2025-02-13,131100,122800,134300,122700,1977098,254687012100,00,0.00,N,2,9900,
2025-02-14,128000,129800,131400,125400,948904,121589942100,00,0.00,N,5,-3100,
2025-02-17,130600,128500,133700,127000,936794,122658324900,00,0.00,N,2,2600,
2025-02-18,128400,131700,131700,128100,506687,65374539600,00,0.00,N,5,-2200,
2025-02-19,135200,128900,137400,128500,1362738,183066397200,00,0.00,N,2,6800,
2025-02-20,135600,136600,140300,134100,961534,131578262500,00,0.00,N,2,400,
2025-02-21,137400,136700,139500,135300,722478,99011298800,00,0.00,N,2,1800,
2025-02-24,140800,135800,141700,134400,890021,124013873800,00,0.00,N,2,3400,
2025-02-25,133100,139500,139900,133100,715115,96771356800,00,0.00,N,5,-7700,
2025-02-26,138600,133000,141000,132700,889786,122838419300,00,0.00,N,2,5500,
2025-02-27,134000,138600,139000,132800,907540,122387213700,00,0.00,N,5,-4600,
2025-02-28,119000,131200,131900,117000,2490297,302200374000,00,0.00,N,5,-15000,
2025-03-04,111900,117900,117900,111500,1048865,119387571700,00,0.00,N,5,-7100,
2025-03-05,112700,113100,115100,110700,675537,76156618900,00,0.00,N,2,800,
2025-03-06,112900,114600,118600,112700,818758,94575857650,00,0.00,N,2,200,
2025-03-07,116700,111300,117500,111300,726487,83951907100,00,0.00,N,2,3800,
2025-03-10,123000,116800,123900,115500,1004048,121766485250,00,0.00,N,2,6300,
2025-03-11,119000,117700,120400,117600,609352,72513152900,00,0.00,N,5,-4000,
2025-03-12,119400,120800,122100,119100,542178,65281717400,00,0.00,N,2,400,
2025-03-13,115600,121500,122200,115000,866306,101347015350,00,0.00,N,5,-3800,
2025-03-14,112500,115300,116300,111200,685802,77542288350,00,0.00,N,5,-3100,
2025-03-17,110800,113100,113700,110700,526173,58648398500,00,0.00,N,5,-1700,
2025-03-18,111300,111500,114100,110800,542930,60941220800,00,0.00,N,2,500,
2025-03-19,111900,111100,113400,110200,466804,52313555200,00,0.00,N,2,600,
2025-03-20,112900,114000,114400,112000,546358,61682630650,00,0.00,N,2,1000,
2025-03-21,112000,112900,114300,108300,740288,82517470200,00,0.00,N,5,-900,
2025-03-24,108300,113300,113300,107600,407220,44413676000,00,0.00,N,5,-3700,
2025-03-25,107500,109200,111100,107400,313753,34183811900,00,0.00,N,5,-800,
2025-03-26,111400,108300,113100,107900,482240,53326838650,00,0.00,N,2,3900,
2025-03-27,108200,109600,111000,108100,220391,24098144700,00,0.00,N,5,-3200,
2025-03-28,103500,108500,109300,103400,427159,45023302500,00,0.00,N,5,-4700,
2025-03-31,96200,100100,100900,95600,730715,70973701500,00,0.00,N,5,-7300,
2025-04-01,95700,97100,97800,94900,553383,53303257950,00,0.00,N,5,-500,
2025-04-02,91300,96400,96800,90100,634388,58197033450,00,0.00,N,5,-4400,
2025-04-03,91100,87000,91900,87000,484086,43642022350,00,0.00,N,5,-200,
2025-04-04,98100,89700,99800,89700,878322,84164082250,00,0.00,N,2,7000,
2025-04-07,92600,94300,98700,92400,472746,44813021900,00,0.00,N,5,-5500,
2025-04-08,94800,95400,97100,93700,370051,35371747400,00,0.00,N,2,2200,
2025-04-09,94700,93400,97400,92900,504185,48083454300,00,0.00,N,5,-100,
2025-04-10,103500,102700,103700,99700,832285,85374930200,00,0.00,N,2,8800,
2025-04-11,100300,100500,102500,98200,378827,37656820450,00,0.00,N,5,-3200,
2025-04-14,101800,100500,103600,100300,306365,31112771550,00,0.00,N,2,1500,
2025-04-15,100000,101900,102200,99100,257991,25876513450,00,0.00,N,5,-1800,
2025-04-16,97400,100200,101700,96800,242341,23914672300,00,0.00,N,5,-2600,
2025-04-17,97500,97100,98900,96600,323489,31545791100,00,0.00,N,2,100,
2025-04-18,96500,97300,97300,95100,184626,17760926200,00,0.00,N,5,-1000,
2025-04-21,94900,95600,97700,94800,161467,15493705650,00,0.00,N,5,-1600,
2025-04-22,94600,94500,98000,93900,198847,18917308750,00,0.00,N,5,-300,
2025-04-23,101200,96500,101400,96300,432217,42741806350,00,0.00,N,2,6600,
2025-04-24,100800,102200,102700,99800,233628,23635095550,00,0.00,N,5,-400,
2025-04-25,103500,102600,106300,100700,364213,37765326750,00,0.00,N,2,2700,
2025-04-28,104500,105800,108900,104000,378850,40260190000,00,0.00,N,2,1000,
2025-04-29,102400,105900,106500,99700,613414,62570024550,00,0.00,N,5,-2100,
2025-04-30,101500,102400,103100,100100,465607,47360336500,00,0.00,N,5,-900,
2025-05-02,104500,101600,104800,99900,371027,38280284400,00,0.00,N,2,3000,
2025-05-07,100600,104800,105300,99600,400563,40398237150,00,0.00,N,5,-3900,
2025-05-08,103800,100600,105500,99600,686506,70699036950,00,0.00,N,2,3200,
2025-05-09,97800,102600,103900,97500,505947,50267682950,00,0.00,N,5,-6000,
2025-05-12,102300,98800,102500,98400,467791,47243607950,00,0.00,N,2,4500,
2025-05-13,98800,104100,104100,98500,341844,34336783900,00,0.00,N,5,-3500,
2025-05-14,99400,98900,100300,95300,462864,45343125400,00,0.00,N,2,600,
2025-05-15,97200,98800,100000,97100,171364,16840203900,00,0.00,N,5,-2200,
2025-05-16,94300,97400,97800,94000,257519,24453487350,00,0.00,N,5,-2900,
2025-05-19,93700,93000,96100,92700,250284,23596248750,00,0.00,N,5,-600,
