date,close,stck_oprc,high,low,volume,tr_amount,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
2025-02-03,190900,191500,193200,186900,7926444,1507115126941,00,0.00,N,5,-8300,
2025-02-04,191100,192900,194300,190100,5851146,1124998402477,00,0.00,N,2,200,
2025-02-05,198800,191900,199400,191900,4245118,835342570774,00,0.00,N,2,7700,
2025-02-06,203500,202000,205000,200500,4032622,819158236800,00,0.00,N,2,4700,
2025-02-07,203000,205000,206000,200500,2206293,447781215500,00,0.00,N,5,-500,
2025-02-10,198100,197800,203000,197000,2779740,554180940500,00,0.00,N,5,-4900,
2025-02-11,199700,201000,201500,198000,2488710,496390495100,00,0.00,N,2,1600,
2025-02-12,198900,196500,199900,196000,2884072,571551165100,00,0.00,N,5,-800,
2025-02-13,208500,198800,208500,198100,3574410,730557417800,00,0.00,N,2,9600,
2025-02-14,210000,209000,212000,206500,2598656,543419304500,00,0.00,N,2,1500,
2025-02-17,212000,211500,216000,211000,2497922,533048999500,00,0.00,N,2,2000,
2025-02-18,210000,212000,215000,207000,1937894,406272256500,00,0.00,N,5,-2000,
2025-02-19,218500,216000,219500,214000,3537720,770153963750,00,0.00,N,2,8500,
2025-02-20,212000,217000,218500,211000,3080242,661408632000,00,0.00,N,5,-6500,
2025-02-21,209500,209500,211000,205500,2601151,542257643792,00,0.00,N,5,-2500,
2025-02-24,205000,202500,205000,201000,3087127,625258023500,00,0.00,N,5,-4500,
2025-02-25,200500,199800,202000,199200,3651613,731446983774,00,0.00,N,5,-4500,
2025-02-26,203000,199000,206000,198600,3849749,780860303269,00,0.00,N,2,2500,
2025-02-27,199200,204500,205000,198100,3993419,801483462385,02,0.00,N,5,-3800,
2025-02-28,190200,191600,193000,188700,5533027,1053368170640,00,0.00,N,5,-9000,
2025-03-04,186100,184800,187500,184000,5424556,1006609154400,00,0.00,N,5,-4100,
2025-03-05,193100,188200,194400,186600,4162368,792823813324,00,0.00,N,2,7000,
2025-03-06,192400,193500,194000,190300,2540131,487906203750,00,0.00,N,5,-700,
2025-03-07,192400,191000,192800,187900,2700590,514599743350,00,0.00,N,3,0,
2025-03-10,187900,187500,191500,187300,2441476,460628775200,00,0.00,N,5,-4500,
2025-03-11,187800,182100,189000,181300,3521800,649730579920,00,0.00,N,5,-100,
2025-03-12,198900,192400,199350,189700,4064278,794706190200,00,0.00,N,2,11100,
2025-03-13,199700,202500,204500,195500,3883033,776558211300,00,0.00,N,2,800,
2025-03-14,204500,198500,206000,198500,3397462,689837704000,00,0.00,N,2,4800,
2025-03-17,206000,207000,209500,203500,2584679,533631663000,00,0.00,N,2,1500,
2025-03-18,203000,208500,209000,201000,2696191,550201555250,00,0.00,N,5,-3000,
2025-03-19,205500,202000,209500,201000,3102000,637177605000,00,0.00,N,2,2500,
2025-03-20,210000,207000,211000,205500,2779557,579752913250,00,0.00,N,2,4500,
2025-03-21,215500,213500,219500,212000,5731880,1236596921720,00,0.00,N,2,5500,
2025-03-24,211500,211500,214500,209500,1611040,341794680250,00,0.00,N,5,-4000,
2025-03-25,208000,214500,215500,208000,2262656,476236293083,00,0.00,N,5,-3500,
2025-03-26,214000,209000,215500,208500,2058540,439676735592,00,0.00,N,2,6000,
2025-03-27,207000,208000,212000,206500,2287220,476716761250,00,0.00,N,5,-7000,
2025-03-28,199300,203000,204500,198900,2673553,534519603200,00,0.00,N,5,-7700,
2025-03-31,190700,193500,195500,190500,4561715,876621938700,00,0.00,N,5,-8600,
2025-04-01,197000,193600,198500,192000,2317253,452715582568,00,0.00,N,2,6300,
2025-04-02,197900,198800,201500,197300,2764223,548735781100,00,0.00,N,2,900,
2025-04-03,194600,189600,194600,188200,4177747,802393786600,00,0.00,N,5,-3300,
2025-04-04,182200,187900,189600,178400,9182017,1685984859300,00,0.00,N,5,-12400,
2025-04-07,164800,168000,172800,164800,7879050,1328142523000,00,0.00,N,5,-17400,
2025-04-08,169500,172000,173100,168200,4965171,847718116950,00,0.00,N,2,4700,
2025-04-09,165000,170000,170000,162700,8035679,1325989995350,00,0.00,N,5,-4500,
2025-04-10,183200,189700,189900,180000,7836984,1441489112800,00,0.00,N,2,18200,
2025-04-11,180800,177800,181800,176100,3223735,576358985600,00,0.00,N,5,-2400,
2025-04-14,180200,182900,184400,178000,3466194,626944507025,00,0.00,N,5,-600,
2025-04-15,180600,180200,182400,179700,1915455,346806750872,00,0.00,N,2,400,
2025-04-16,174000,176500,177500,173500,2933428,513625295288,00,0.00,N,5,-6600,
2025-04-17,175000,172100,175400,171800,2989493,518847231000,00,0.00,N,2,1000,
2025-04-18,175000,174000,175500,172800,1305152,227190964950,00,0.00,N,3,0,
2025-04-21,176600,174800,180000,174500,1877473,333023289800,00,0.00,N,2,1600,
2025-04-22,173800,175000,175500,173300,2008388,350090558400,00,0.00,N,5,-2800,
2025-04-23,181000,179100,181600,178100,3857373,694204494800,00,0.00,N,2,7200,
2025-04-24,178300,182800,183400,177600,3162156,567307528200,00,0.00,N,5,-2700,
2025-04-25,184400,182500,184900,182100,3507810,643236401050,00,0.00,N,2,6100,
2025-04-28,182000,183500,183900,179700,2455710,446486658150,00,0.00,N,5,-2400,
2025-04-29,180800,182000,182900,179100,1866386,337946381750,00,0.00,N,5,-1200,
2025-04-30,177500,179100,180000,176700,2354473,418810546350,00,0.00,N,5,-3300,
2025-05-02,186000,179400,186200,178400,3886874,713077842545,00,0.00,N,2,8500,
2025-05-07,190800,187700,191500,185900,3830097,726827737180,00,0.00,N,2,4800,
2025-05-08,190300,196000,196000,189400,5125330,987251900800,00,0.00,N,5,-500,
2025-05-09,190100,192000,192800,186800,2539822,480995533500,00,0.00,N,5,-200,
2025-05-12,195000,193600,195200,193500,1624884,316118471450,00,0.00,N,2,4900,
2025-05-13,198500,200500,201500,197300,3385009,674915737950,00,0.00,N,2,3500,
2025-05-14,206000,207000,207000,204000,3333511,687064499104,00,0.00,N,2,7500,
2025-05-15,200500,207500,208000,199500,3178957,646444000549,00,0.00,N,5,-5500,
2025-05-16,204500,206000,206750,203500,2419507,496481724500,00,0.00,N,2,4000,
2025-05-19,199400,203000,203000,197500,2482673,494757331640,00,0.00,N,5,-5100,
2025-05-20,202000,202500,208000,201500,2820546,575346512520,00,0.00,N,2,2600,
2025-05-21,200500,204500,205000,199900,1721760,346596366000,00,0.00,N,5,-1500,
2025-05-22,196900,199900,201500,196500,1988587,393046069000,00,0.00,N,5,-3600,
2025-05-23,200000,199900,201500,198700,1538701,307720248600,00,0.00,N,2,3100,
2025-05-26,203000,200000,203500,196900,1459997,292677967900,00,0.00,N,2,3000,
2025-05-27,202500,200500,203500,200000,1424916,287661281500,00,0.00,N,5,-500,
2025-05-28,208000,206500,209500,206000,3161188,657413056500,00,0.00,N,2,5500,
2025-05-29,212000,214500,214500,207500,3827689,808853146000,05,0.00,N,2,4000,
2025-05-30,204500,210000,210000,203000,4826628,992245511750,00,0.00,N,5,-7500,
2025-06-02,207500,205000,208500,203000,1775752,367619366000,00,0.00,N,2,3000,
2025-06-04,217500,218000,223000,216500,5108674,1120799402390,00,0.00,N,2,10000,
2025-06-05,224500,225500,230000,222000,5768506,1306203853561,00,0.00,N,2,7000,
2025-06-09,229000,233000,233500,228000,3666084,844187566160,00,0.00,N,2,4500,
2025-06-10,230500,231000,232500,227500,3718655,857162985228,00,0.00,N,2,1500,
2025-06-11,240000,236000,241000,235000,4230421,1010945936000,00,0.00,N,2,9500,
2025-06-12,235500,242500,246500,235000,4994238,1194087510250,00,0.00,N,5,-4500,
2025-06-13,235500,240500,243000,233750,4100610,973619143023,00,0.00,N,3,0,
2025-06-16,248000,238000,248500,238000,3760740,919187630141,00,0.00,N,2,12500,
2025-06-17,249000,253000,260000,248000,5044669,1275681263500,00,0.00,N,2,1000,
2025-06-18,246500,245500,252000,245000,4081001,1009652492936,00,0.00,N,5,-2500,
2025-06-19,246000,247000,250000,242000,2317796,569942842750,00,0.00,N,5,-500,
2025-06-20,257000,249000,257000,247500,3597877,916063762030,00,0.00,N,2,11000,
2025-06-23,259500,252500,263000,248500,3398736,871519681612,00,0.00,N,2,2500,
2025-06-24,278500,270000,283000,269500,5436312,1510976358680,00,0.00,N,2,19000,
2025-06-25,286000,289000,291500,284000,5466598,1568977689681,00,0.00,N,2,7500,
2025-06-26,293000,294500,298500,287000,5894020,1730468230843,00,0.00,N,2,7000,
2025-06-27,284000,288000,294500,281000,5134863,1469227568381,00,0.00,N,5,-9000,
2025-06-30,292000,288500,294500,286000,4375298,1270954675000,00,0.00,N,2,8000,
2025-07-01,285500,291000,294500,285500,3687981,1067385501678,00,0.00,N,5,-6500,
2025-07-02,279000,283500,283500,274500,4702056,1307588197560,00,0.00,N,5,-6500,
2025-07-03,278500,281000,284000,277000,3642140,1018228538080,00,0.00,N,5,-500,
2025-07-04,270500,279500,281500,269000,3654933,997717561250,00,0.00,N,5,-8000,
2025-07-07,271000,266000,272000,264500,2523564,676974152250,00,0.00,N,2,500,
2025-07-08,282000,271000,285000,268500,3119395,872611189250,00,0.00,N,2,11000,
2025-07-09,281000,282500,284000,277500,2626484,737516882940,00,0.00,N,5,-1000,
2025-07-10,297000,284000,297000,283500,4556065,1327686514500,00,0.00,N,2,16000,
2025-07-11,294500,299500,306500,292000,3732533,1112891966454,00,0.00,N,5,-2500,
2025-07-14,300000,292500,302500,292500,2936976,877791233750,00,0.00,N,2,5500,
2025-07-15,298500,296000,298500,290000,4196196,1231459054812,00,0.00,N,5,-1500,
2025-07-16,296000,298500,299500,292500,3123297,921107086250,00,0.00,N,5,-2500,
2025-07-17,269500,283500,289500,268000,9328322,2557977761214,00,0.00,N,5,-26500,
2025-07-18,269000,270000,275000,267000,5359504,1444044947500,00,0.00,N,5,-500,
2025-07-21,272500,267500,274500,266500,2424891,659154203750,00,0.00,N,2,3500,
2025-07-22,268500,273000,273500,267000,3139858,844336707647,00,0.00,N,5,-4000,
2025-07-23,269000,267500,271000,264500,3116279,835260110076,00,0.00,N,2,500,
2025-07-24,269500,277000,279000,269000,3667144,1005675894310,00,0.00,N,2,500,
2025-07-25,266000,273000,275000,265500,2171063,584789111250,00,0.00,N,5,-3500,
2025-07-28,262000,261000,265500,258500,2877357,752794876750,00,0.00,N,5,-4000,
2025-07-29,262500,254500,265000,254500,2944177,767126728082,00,0.00,N,2,500,
2025-07-30,263500,263000,266000,260500,2482807,653841670750,00,0.00,N,2,1000,
2025-07-31,273500,271000,274000,265500,3472644,943515065750,00,0.00,N,2,10000,
2025-08-01,258000,266000,267000,257000,3227394,839582715924,00,0.00,N,5,-15500,
2025-08-04,258000,254500,260000,254000,2281558,586658570250,00,0.00,N,3,0,
2025-08-05,263500,264000,264500,260500,2118171,556412835750,00,0.00,N,2,5500,
2025-08-06,258500,260500,260500,257500,1374559,355549598750,00,0.00,N,5,-5000,
2025-08-07,262000,258000,263000,250000,2724438,702486445000,00,0.00,N,2,3500,
2025-08-08,256500,262000,266000,255500,2676174,697609686674,00,0.00,N,5,-5500,
2025-08-11,267000,260500,267500,260000,2415473,639967964355,00,0.00,N,2,10500,
