date,close,stck_oprc,high,low,volume,tr_amount,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
2025-02-03,57200,59700,60100,56900,849519,49077132100,00,0.00,N,5,-3800,
2025-02-04,59300,58600,62200,58400,1028545,62240497100,00,0.00,N,2,2100,
2025-02-05,60300,59400,61000,59400,443255,26761483700,00,0.00,N,2,1000,
2025-02-06,59700,61200,61300,59300,519586,31101982700,00,0.00,N,5,-600,
2025-02-07,59900,59900,62600,58800,800474,48662426600,00,0.00,N,2,200,
2025-02-10,60100,58900,60600,58000,710056,42219166600,00,0.00,N,2,200,
2025-02-11,59600,60400,61200,59200,726222,43632422900,00,0.00,N,5,-500,
2025-02-12,59600,59100,61000,59000,649946,38878996900,00,0.00,N,3,0,
2025-02-13,61900,60100,62400,60000,1216701,74464685500,00,0.00,N,2,2300,
2025-02-14,60700,61900,61900,60500,598199,36548138300,00,0.00,N,5,-1200,
2025-02-17,62300,60900,63600,60300,1209098,75305794100,00,0.00,N,2,1600,
2025-02-18,61800,63100,63200,61200,533745,33011671400,00,0.00,N,5,-500,
2025-02-19,63800,62100,64900,62000,1550814,98869197800,00,0.00,N,2,2000,
2025-02-20,63300,64200,64800,63100,1047516,66917410100,00,0.00,N,5,-500,
2025-02-21,67200,64300,68800,63700,2658106,176197906400,00,0.00,N,2,3900,
2025-02-24,68600,66500,68600,66000,1451879,98177272400,00,0.00,N,2,1400,
2025-02-25,65400,68200,68500,65200,977768,64745138200,00,0.00,N,5,-3200,
2025-02-26,68500,64500,68500,64400,1105974,74285607800,00,0.00,N,2,3100,
2025-02-27,65900,66900,68100,65700,623392,41379905600,02,-1.90,N,5,-1300,
2025-02-28,62200,65000,65200,61100,1276060,79651319100,00,0.00,N,5,-3700,
2025-03-04,58100,61900,62100,57800,1255916,74745808600,00,0.00,N,5,-4100,
2025-03-05,58900,58800,60400,58200,728668,43188404700,00,0.00,N,2,800,
2025-03-06,58700,59700,60700,58500,713885,42325759400,00,0.00,N,5,-200,
